Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.65;P3[13.00,0.00,0.00]=9.95;null;[12.67, 10.2, 0.0];[12.19,10.42,-0.48];19:38:04.183;12.19;10.42;12.67;10.2;12;10;-0.67;-0.2;-0.19;-0.42
P4[11.00,11.00,0.00]=0.94;P9[13.00,16.50,0.00]=5.63;P3[13.00,0.00,0.00]=9.98;null;[12.67, 10.22, -0.0];[12.20,10.43,-0.48];19:38:04.583;12.20;10.43;12.67;10.22;12;10;-0.67;-0.22;-0.2;-0.43
P4[11.00,11.00,0.00]=0.93;P9[13.00,16.50,0.00]=5.61;P3[13.00,0.00,0.00]=9.98;null;[12.67, 10.23, 0.0];[12.22,10.43,-0.47];19:38:04.782;12.22;10.43;12.67;10.23;12;10;-0.67;-0.23;-0.22;-0.43
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.93;null;[12.67, 10.19, -0.0];[12.23,10.43,-0.38];19:38:05.083;12.23;10.43;12.67;10.19;12;10;-0.67;-0.19;-0.23;-0.43
P4[11.00,11.00,0.00]=0.57;P9[13.00,16.50,0.00]=5.66;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=14.43;[12.08, 9.87, 0.0];[12.13,10.43,-0.39];19:38:05.591;12.13;10.43;12.08;9.87;12;10;-0.08;0.13;-0.13;-0.43
P4[11.00,11.00,0.00]=0.62;P9[13.00,16.50,0.00]=5.63;P3[13.00,0.00,0.00]=10.02;P5[13.00,24.00,0.00]=13.97;[12.53, 10.13, 0.0];[12.09,10.44,-0.34];19:38:06.791;12.09;10.44;12.53;10.13;12;10;-0.53;-0.13;-0.09;-0.44
P4[11.00,11.00,0.00]=0.68;P9[13.00,16.50,0.00]=5.57;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.66;[12.66, 10.32, 0.0];[12.08,10.46,-0.32];19:38:07.190;12.08;10.46;12.66;10.32;12;10;-0.66;-0.32;-0.08;-0.46
P4[11.00,11.00,0.00]=0.66;P9[13.00,16.50,0.00]=5.53;P3[13.00,0.00,0.00]=10.16;null;[12.63, 10.37, -0.0];[12.04,10.49,-0.38];19:38:10.382;12.04;10.49;12.63;10.37;12;10;-0.63;-0.37;-0.04;-0.49
P4[11.00,11.00,0.00]=0.57;P9[13.00,16.50,0.00]=5.57;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.82;[12.58, 10.24, 0.0];[12.02,10.50,-0.31];19:38:11.391;12.02;10.50;12.58;10.24;12;10;-0.58;-0.24;-0.02;-0.5
P4[11.00,11.00,0.00]=0.69;P9[13.00,16.50,0.00]=5.61;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.89;[12.52, 10.21, -0.0];[11.98,10.51,-0.41];19:38:12.192;11.98;10.51;12.52;10.21;12;10;-0.52;-0.21;0.02;-0.51
P4[11.00,11.00,0.00]=0.61;P9[13.00,16.50,0.00]=5.58;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=14.19;[12.37, 10.02, -0.0];[11.98,10.51,-0.35];19:38:12.791;11.98;10.51;12.37;10.02;12;10;-0.37;-0.02;0.02;-0.51
P4[11.00,11.00,0.00]=0.76;P9[13.00,16.50,0.00]=5.77;P3[13.00,0.00,0.00]=9.96;P5[13.00,24.00,0.00]=13.98;[12.55, 10.09, -0.0];[11.95,10.48,-0.43];19:38:14.191;11.95;10.48;12.55;10.09;12;10;-0.55;-0.09;0.05;-0.48
P4[11.00,11.00,0.00]=0.88;P9[13.00,16.50,0.00]=5.65;P3[13.00,0.00,0.00]=9.94;P5[13.00,24.00,0.00]=13.80;[12.67, 10.2, -0.0];[12.01,10.46,-0.40];19:38:15.389;12.01;10.46;12.67;10.2;12;10;-0.67;-0.2;-0.01;-0.46
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.59;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.82;[12.66, 10.21, 0.0];[12.08,10.46,-0.35];19:38:16.689;12.08;10.46;12.66;10.21;12;10;-0.66;-0.21;-0.08;-0.46
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.97;P5[13.00,24.00,0.00]=13.87;[12.64, 10.17, -0.0];[12.11,10.45,-0.37];19:38:16.988;12.11;10.45;12.64;10.17;12;10;-0.64;-0.17;-0.11;-0.45
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.61;P3[13.00,0.00,0.00]=10.00;P5[13.00,24.00,0.00]=13.87;[12.64, 10.18, 0.0];[12.15,10.45,-0.42];19:38:17.389;12.15;10.45;12.64;10.18;12;10;-0.64;-0.18;-0.15;-0.45
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.61;P3[13.00,0.00,0.00]=9.95;P5[13.00,24.00,0.00]=14.12;[12.56, 10.03, 0.0];[12.20,10.45,-0.36];19:38:17.889;12.20;10.45;12.56;10.03;12;10;-0.56;-0.03;-0.2;-0.45
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.60;P3[13.00,0.00,0.00]=9.99;P5[13.00,24.00,0.00]=14.01;[12.58, 10.1, -0.0];[12.21,10.45,-0.35];19:38:17.989;12.21;10.45;12.58;10.1;12;10;-0.58;-0.1;-0.21;-0.45
P4[11.00,11.00,0.00]=0.78;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.99;P5[13.00,24.00,0.00]=14.00;[12.55, 10.1, -0.0];[12.18,10.45,-0.36];19:38:18.090;12.18;10.45;12.55;10.1;12;10;-0.55;-0.1;-0.18;-0.45
P4[11.00,11.00,0.00]=1.05;P9[13.00,16.50,0.00]=5.66;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=14.20;[12.48, 9.98, 0.0];[12.20,10.44,-0.45];19:38:18.588;12.20;10.44;12.48;9.98;12;10;-0.48;0.02;-0.2;-0.44
P4[11.00,11.00,0.00]=0.87;P9[13.00,16.50,0.00]=5.68;P3[13.00,0.00,0.00]=9.92;P5[13.00,24.00,0.00]=14.36;[12.37, 9.87, 0.0];[12.20,10.43,-0.42];19:38:19.491;12.20;10.43;12.37;9.87;12;10;-0.37;0.13;-0.2;-0.43
P4[11.00,11.00,0.00]=0.93;P9[13.00,16.50,0.00]=5.80;P3[13.00,0.00,0.00]=9.80;null;[12.66, 10.06, 0.0];[12.19,10.39,-0.39];19:38:20.082;12.19;10.39;12.66;10.06;12;10;-0.66;-0.06;-0.19;-0.39
P4[11.00,11.00,0.00]=0.64;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=9.90;P5[13.00,24.00,0.00]=13.86;[12.6, 10.13, -0.0];[12.08,10.37,-0.43];19:38:20.891;12.08;10.37;12.6;10.13;12;10;-0.6;-0.13;-0.08;-0.37
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.74;P3[13.00,0.00,0.00]=9.90;null;[12.65, 10.14, 0.0];[12.09,10.36,-0.46];19:38:23.882;12.09;10.36;12.65;10.14;12;10;-0.65;-0.14;-0.09;-0.36
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.71;P3[13.00,0.00,0.00]=9.90;null;[12.66, 10.15, -0.0];[12.11,10.36,-0.44];19:38:24.081;12.11;10.36;12.66;10.15;12;10;-0.66;-0.15;-0.11;-0.36
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.74;P3[13.00,0.00,0.00]=9.89;null;[12.65, 10.14, 0.0];[12.12,10.35,-0.45];19:38:24.582;12.12;10.35;12.65;10.14;12;10;-0.65;-0.14;-0.12;-0.35
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.72;P3[13.00,0.00,0.00]=9.90;null;[12.66, 10.15, 0.0];[12.13,10.35,-0.46];19:38:24.682;12.13;10.35;12.66;10.15;12;10;-0.66;-0.15;-0.13;-0.35
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.70;P3[13.00,0.00,0.00]=9.91;P5[13.00,24.00,0.00]=13.71;[12.7, 10.23, 0.0];[12.15,10.36,-0.45];19:38:24.788;12.15;10.36;12.7;10.23;12;10;-0.7;-0.23;-0.15;-0.36
P4[11.00,11.00,0.00]=0.87;P9[13.00,16.50,0.00]=5.62;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.75;[12.67, 10.24, 0.0];[12.16,10.38,-0.42];19:38:26.589;12.16;10.38;12.67;10.24;12;10;-0.67;-0.24;-0.16;-0.38
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.87;P5[13.00,24.00,0.00]=13.77;[12.69, 10.18, 0.0];[12.16,10.37,-0.43];19:38:32.489;12.16;10.37;12.69;10.18;12;10;-0.69;-0.18;-0.16;-0.37
P4[11.00,11.00,0.00]=1.03;P9[13.00,16.50,0.00]=5.74;P3[13.00,0.00,0.00]=9.89;P5[13.00,24.00,0.00]=13.82;[12.69, 10.16, -0.0];[12.17,10.36,-0.48];19:38:32.789;12.17;10.36;12.69;10.16;12;10;-0.69;-0.16;-0.17;-0.36
P4[11.00,11.00,0.00]=1.05;P9[13.00,16.50,0.00]=5.70;P3[13.00,0.00,0.00]=9.86;P5[13.00,24.00,0.00]=13.74;[12.73, 10.2, -0.0];[12.22,10.35,-0.43];19:38:32.889;12.22;10.35;12.73;10.2;12;10;-0.73;-0.2;-0.22;-0.35
P4[11.00,11.00,0.00]=1.08;P9[13.00,16.50,0.00]=5.71;P3[13.00,0.00,0.00]=9.88;P5[13.00,24.00,0.00]=13.90;[12.68, 10.12, -0.0];[12.26,10.35,-0.44];19:38:33.789;12.26;10.35;12.68;10.12;12;10;-0.68;-0.12;-0.26;-0.35
P4[11.00,11.00,0.00]=1.10;P9[13.00,16.50,0.00]=5.73;P3[13.00,0.00,0.00]=9.84;P5[13.00,24.00,0.00]=13.79;[12.72, 10.17, -0.0];[12.29,10.34,-0.44];19:38:33.890;12.29;10.34;12.72;10.17;12;10;-0.72;-0.17;-0.29;-0.34
P4[11.00,11.00,0.00]=1.20;P9[13.00,16.50,0.00]=5.69;P3[13.00,0.00,0.00]=9.85;P5[13.00,24.00,0.00]=13.83;[12.73, 10.15, -0.0];[12.35,10.34,-0.40];19:38:34.389;12.35;10.34;12.73;10.15;12;10;-0.73;-0.15;-0.35;-0.34
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.80;P3[13.00,0.00,0.00]=9.80;null;[12.66, 10.06, -0.0];[12.31,10.32,-0.40];19:38:35.783;12.31;10.32;12.66;10.06;12;10;-0.66;-0.06;-0.31;-0.32
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.47;P3[13.00,0.00,0.00]=10.23;null;[12.66, 10.43, -0.0];[12.26,10.41,-0.51];19:38:37.485;12.26;10.41;12.66;10.43;12;10;-0.66;-0.43;-0.26;-0.41
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.49;P3[13.00,0.00,0.00]=10.17;null;[12.67, 10.38, 0.0];[12.22,10.46,-0.56];19:38:37.586;12.22;10.46;12.67;10.38;12;10;-0.67;-0.38;-0.22;-0.46
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.50;P3[13.00,0.00,0.00]=10.17;null;[12.67, 10.38, 0.0];[12.20,10.49,-0.61];19:38:37.686;12.20;10.49;12.67;10.38;12;10;-0.67;-0.38;-0.2;-0.49
P4[11.00,11.00,0.00]=0.82;P9[13.00,16.50,0.00]=5.54;P3[13.00,0.00,0.00]=10.12;null;[12.65, 10.34, 0.0];[12.17,10.51,-0.61];19:38:38.185;12.17;10.51;12.65;10.34;12;10;-0.65;-0.34;-0.17;-0.51
P4[11.00,11.00,0.00]=0.77;P9[13.00,16.50,0.00]=5.51;P3[13.00,0.00,0.00]=10.11;null;[12.66, 10.34, -0.0];[12.16,10.53,-0.55];19:38:38.885;12.16;10.53;12.66;10.34;12;10;-0.66;-0.34;-0.16;-0.53
P4[11.00,11.00,0.00]=0.66;P9[13.00,16.50,0.00]=5.53;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.83;[12.56, 10.25, -0.0];[12.12,10.54,-0.53];19:38:39.694;12.12;10.54;12.56;10.25;12;10;-0.56;-0.25;-0.12;-0.54
P4[11.00,11.00,0.00]=0.69;P9[13.00,16.50,0.00]=5.52;P3[13.00,0.00,0.00]=10.11;null;[12.65, 10.34, -0.0];[12.10,10.54,-0.48];19:38:39.986;12.10;10.54;12.65;10.34;12;10;-0.65;-0.34;-0.1;-0.54
P4[11.00,11.00,0.00]=0.68;P9[13.00,16.50,0.00]=5.57;P3[13.00,0.00,0.00]=10.10;null;[12.63, 10.32, -0.0];[12.07,10.54,-0.48];19:38:40.386;12.07;10.54;12.63;10.32;12;10;-0.63;-0.32;-0.07;-0.54
P4[11.00,11.00,0.00]=0.66;P9[13.00,16.50,0.00]=5.48;P3[13.00,0.00,0.00]=10.16;null;[12.64, 10.38, 0.0];[12.06,10.56,-0.45];19:38:40.586;12.06;10.56;12.64;10.38;12;10;-0.64;-0.38;-0.06;-0.56
P4[11.00,11.00,0.00]=0.65;P9[13.00,16.50,0.00]=5.54;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.64;[12.64, 10.36, -0.0];[12.03,10.56,-0.46];19:38:40.892;12.03;10.56;12.64;10.36;12;10;-0.64;-0.36;-0.03;-0.56
P4[11.00,11.00,0.00]=0.67;P9[13.00,16.50,0.00]=5.54;P3[13.00,0.00,0.00]=10.09;null;[12.64, 10.32, -0.0];[12.04,10.56,-0.40];19:38:40.986;12.04;10.56;12.64;10.32;12;10;-0.64;-0.32;-0.04;-0.56
P4[11.00,11.00,0.00]=0.64;P9[13.00,16.50,0.00]=5.53;P3[13.00,0.00,0.00]=10.15;null;[12.63, 10.36, 0.0];[12.01,10.56,-0.42];19:38:41.986;12.01;10.56;12.63;10.36;12;10;-0.63;-0.36;-0.01;-0.56
P4[11.00,11.00,0.00]=0.72;P9[13.00,16.50,0.00]=5.49;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.71;[12.63, 10.32, -0.0];[12.03,10.57,-0.40];19:38:42.993;12.03;10.57;12.63;10.32;12;10;-0.63;-0.32;-0.03;-0.57
P4[11.00,11.00,0.00]=0.63;P9[13.00,16.50,0.00]=5.52;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.73;[12.61, 10.31, -0.0];[12.02,10.57,-0.40];19:38:43.493;12.02;10.57;12.61;10.31;12;10;-0.61;-0.31;-0.02;-0.57
P4[11.00,11.00,0.00]=0.55;P9[13.00,16.50,0.00]=5.55;P3[13.00,0.00,0.00]=10.24;null;[12.6, 10.42, 0.0];[11.94,10.59,-0.47];19:38:43.886;11.94;10.59;12.6;10.42;12;10;-0.6;-0.42;0.06;-0.59
P4[11.00,11.00,0.00]=0.78;P9[13.00,16.50,0.00]=5.29;P3[13.00,0.00,0.00]=10.32;P5[13.00,24.00,0.00]=13.68;[12.59, 10.42, 0.0];[12.00,10.64,-0.46];19:38:57.493;12.00;10.64;12.59;10.42;12;10;-0.59;-0.42;0.0;-0.64
P4[11.00,11.00,0.00]=0.78;P9[13.00,16.50,0.00]=5.20;P3[13.00,0.00,0.00]=10.91;null;[12.52, 10.98, -0.0];[11.97,10.76,-0.49];19:38:59.387;11.97;10.76;12.52;10.98;12;10;-0.52;-0.98;0.03;-0.76
P4[11.00,11.00,0.00]=0.89;P9[13.00,16.50,0.00]=5.20;P3[13.00,0.00,0.00]=10.59;null;[12.65, 10.74, 0.0];[12.04,10.81,-0.45];19:38:59.587;12.04;10.81;12.65;10.74;12;10;-0.65;-0.74;-0.04;-0.81
P4[11.00,11.00,0.00]=0.78;P9[13.00,16.50,0.00]=5.08;P3[13.00,0.00,0.00]=10.51;P5[13.00,24.00,0.00]=13.58;[12.57, 10.56, 0.0];[12.10,10.85,-0.41];19:38:59.894;12.10;10.85;12.57;10.56;12;10;-0.57;-0.56;-0.1;-0.85
P4[11.00,11.00,0.00]=0.74;P9[13.00,16.50,0.00]=5.26;P3[13.00,0.00,0.00]=10.50;null;[12.64, 10.67, -0.0];[12.05,10.87,-0.52];19:39:00.287;12.05;10.87;12.64;10.67;12;10;-0.64;-0.67;-0.05;-0.87
P4[11.00,11.00,0.00]=0.75;P9[13.00,16.50,0.00]=5.30;P3[13.00,0.00,0.00]=10.59;null;[12.6, 10.72, 0.0];[12.03,10.88,-0.54];19:39:00.386;12.03;10.88;12.6;10.72;12;10;-0.6;-0.72;-0.03;-0.88
P4[11.00,11.00,0.00]=0.80;P9[13.00,16.50,0.00]=5.30;P3[13.00,0.00,0.00]=10.73;null;[12.56, 10.83, 0.0];[12.04,10.91,-0.48];19:39:00.486;12.04;10.91;12.56;10.83;12;10;-0.56;-0.83;-0.04;-0.91
P4[11.00,11.00,0.00]=0.84;P9[13.00,16.50,0.00]=5.26;P3[13.00,0.00,0.00]=10.80;P5[13.00,24.00,0.00]=13.57;[11.99, 10.65, 0.0];[12.03,10.94,-0.49];19:39:00.593;12.03;10.94;11.99;10.65;12;10;0.01;-0.65;-0.03;-0.94
P4[11.00,11.00,0.00]=0.92;P9[13.00,16.50,0.00]=5.16;P3[13.00,0.00,0.00]=10.95;P5[13.00,24.00,0.00]=13.31;[12.18, 10.86, 0.0];[12.02,11.00,-0.54];19:39:00.993;12.02;11.00;12.18;10.86;12;10;-0.18;-0.86;-0.02;-1.0
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.07;P3[13.00,0.00,0.00]=10.91;null;[12.6, 11.01, 0.0];[11.99,11.06,-0.64];19:39:01.087;11.99;11.06;12.6;11.01;12;10;-0.6;-1.01;0.01;-1.06
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.03;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=6.10;[12.1, 10.76, -0.0];[12.06,11.06,-0.63];19:39:01.193;12.06;11.06;12.1;10.76;12;10;-0.1;-0.76;-0.06;-1.06
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.48;P9[13.00,16.50,0.00]=5.09;null;[12.7, 10.68, -0.0];[12.14,11.03,-0.40];19:39:01.787;12.14;11.03;12.7;10.68;12;10;-0.7;-0.68;-0.14;-1.03
P4[11.00,11.00,0.00]=0.91;P9[13.00,16.50,0.00]=5.09;P3[13.00,0.00,0.00]=10.47;P5[13.00,24.00,0.00]=13.95;[12.33, 10.34, -0.0];[12.20,11.01,-0.35];19:39:03.394;12.20;11.01;12.33;10.34;12;10;-0.33;-0.34;-0.2;-1.01
