Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P7[2.90,24.00,0.00]=3.54;P6[6.70,18.03,0.00]=5.04;P1[0.00,0.00,0.00]=20.19;P8[5.90,10.00,0.00]=11.21;[1.73, 20.18, 0.0];[2.08,20.37,-0.76];19:22:46.834;2.08;20.37;1.73;20.18;2;20.40;0.27;0.22;-0.08;0.03
P7[2.90,24.00,0.00]=3.56;P6[6.70,18.03,0.00]=5.07;P1[0.00,0.00,0.00]=20.25;P8[5.90,10.00,0.00]=11.16;[1.81, 20.22, 0.0];[2.06,20.36,-0.61];19:22:46.933;2.06;20.36;1.81;20.22;2;20.40;0.19;0.18;-0.06;0.04
P7[2.90,24.00,0.00]=3.60;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.27;P8[5.90,10.00,0.00]=11.12;[1.92, 20.22, 0.0];[2.08,20.36,-0.64];19:22:47.034;2.08;20.36;1.92;20.22;2;20.40;0.08;0.18;-0.08;0.04
P7[2.90,24.00,0.00]=3.47;P6[6.70,18.03,0.00]=4.86;P1[0.00,0.00,0.00]=20.38;P8[5.90,10.00,0.00]=11.14;[2.08, 20.31, 0.0];[2.13,20.38,-0.64];19:22:47.134;2.13;20.38;2.08;20.31;2;20.40;-0.08;0.09;-0.13;0.02
P7[2.90,24.00,0.00]=3.55;P6[6.70,18.03,0.00]=4.92;P1[0.00,0.00,0.00]=20.29;P8[5.90,10.00,0.00]=11.03;[2.05, 20.22, 0.0];[2.15,20.38,-0.63];19:22:47.234;2.15;20.38;2.05;20.22;2;20.40;-0.05;0.18;-0.15;0.02
P7[2.90,24.00,0.00]=3.52;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=11.16;[2.05, 20.33, 0.0];[2.19,20.39,-0.71];19:22:47.333;2.19;20.39;2.05;20.33;2;20.40;-0.05;0.07;-0.19;0.01
P7[2.90,24.00,0.00]=3.55;P6[6.70,18.03,0.00]=4.86;P1[0.00,0.00,0.00]=20.33;P8[5.90,10.00,0.00]=11.15;[2.01, 20.28, 0.0];[2.21,20.39,-0.72];19:22:47.434;2.21;20.39;2.01;20.28;2;20.40;-0.01;0.12;-0.21;0.01
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.31;P8[5.90,10.00,0.00]=11.09;[2.02, 20.25, 0.0];[2.22,20.38,-0.77];19:22:47.534;2.22;20.38;2.02;20.25;2;20.40;-0.02;0.15;-0.22;0.02
P7[2.90,24.00,0.00]=3.60;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=11.03;[2.18, 20.32, 0.0];[2.23,20.39,-0.70];19:22:47.632;2.23;20.39;2.18;20.32;2;20.40;-0.18;0.08;-0.23;0.01
P7[2.90,24.00,0.00]=3.56;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=10.97;[2.26, 20.32, 0.0];[2.24,20.39,-0.62];19:22:47.732;2.24;20.39;2.26;20.32;2;20.40;-0.26;0.08;-0.24;0.01
P7[2.90,24.00,0.00]=3.56;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=11.12;[2.1, 20.36, 0.0];[2.24,20.40,-0.55];19:22:47.833;2.24;20.40;2.1;20.36;2;20.40;-0.1;0.04;-0.24;0.0
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=5.01;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.19;[1.97, 20.35, 0.0];[2.23,20.40,-0.52];19:22:47.933;2.23;20.40;1.97;20.35;2;20.40;0.03;0.05;-0.23;0.0
P7[2.90,24.00,0.00]=3.61;P6[6.70,18.03,0.00]=4.92;P1[0.00,0.00,0.00]=20.32;P8[5.90,10.00,0.00]=11.14;[1.98, 20.26, 0.0];[2.23,20.39,-0.63];19:22:48.033;2.23;20.39;1.98;20.26;2;20.40;0.02;0.14;-0.23;0.01
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=11.10;[2.12, 20.33, 0.0];[2.26,20.39,-0.67];19:22:48.133;2.26;20.39;2.12;20.33;2;20.40;-0.12;0.07;-0.26;0.01
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=5.00;P1[0.00,0.00,0.00]=20.51;P8[5.90,10.00,0.00]=11.07;[2.21, 20.4, 0.0];[2.28,20.40,-0.76];19:22:48.232;2.28;20.40;2.21;20.4;2;20.40;-0.21;0.0;-0.28;0.0
P7[2.90,24.00,0.00]=3.54;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.47;P8[5.90,10.00,0.00]=11.12;[2.14, 20.38, 0.0];[2.28,20.41,-0.68];19:22:48.333;2.28;20.41;2.14;20.38;2;20.40;-0.14;0.02;-0.28;-0.01
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.92;P1[0.00,0.00,0.00]=20.46;P8[5.90,10.00,0.00]=11.08;[2.19, 20.36, 0.0];[2.30,20.41,-0.71];19:22:48.433;2.30;20.41;2.19;20.36;2;20.40;-0.19;0.04;-0.3;-0.01
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=10.95;[2.24, 20.3, 0.0];[2.29,20.40,-0.71];19:22:48.532;2.29;20.40;2.24;20.3;2;20.40;-0.24;0.1;-0.29;0.0
P7[2.90,24.00,0.00]=3.58;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.98;[2.21, 20.3, 0.0];[2.28,20.40,-0.58];19:22:48.633;2.28;20.40;2.21;20.3;2;20.40;-0.21;0.1;-0.28;0.0
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.93;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=11.08;[2.14, 20.33, 0.0];[2.29,20.39,-0.59];19:22:48.733;2.29;20.39;2.14;20.33;2;20.40;-0.14;0.07;-0.29;0.01
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.90;P1[0.00,0.00,0.00]=20.43;P8[5.90,10.00,0.00]=11.05;[2.19, 20.33, 0.0];[2.30,20.39,-0.61];19:22:48.833;2.30;20.39;2.19;20.33;2;20.40;-0.19;0.07;-0.3;0.01
P7[2.90,24.00,0.00]=3.67;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=11.10;[2.13, 20.35, 0.0];[2.31,20.39,-0.68];19:22:48.934;2.31;20.39;2.13;20.35;2;20.40;-0.13;0.05;-0.31;0.01
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=11.05;[2.17, 20.31, 0.0];[2.33,20.38,-0.73];19:22:49.033;2.33;20.38;2.17;20.31;2;20.40;-0.17;0.09;-0.33;0.02
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.99;[2.21, 20.29, 0.0];[2.33,20.37,-0.76];19:22:49.133;2.33;20.37;2.21;20.29;2;20.40;-0.21;0.11;-0.33;0.03
P7[2.90,24.00,0.00]=3.67;P6[6.70,18.03,0.00]=5.07;P1[0.00,0.00,0.00]=20.31;P8[5.90,10.00,0.00]=10.81;[2.2, 20.19, 0.0];[2.32,20.36,-0.29];19:22:49.232;2.32;20.36;2.2;20.19;2;20.40;-0.2;0.21;-0.32;0.04
P7[2.90,24.00,0.00]=3.75;P6[6.70,18.03,0.00]=5.17;P1[0.00,0.00,0.00]=20.32;P8[5.90,10.00,0.00]=10.88;[2.08, 20.21, 0.0];[2.28,20.34,-0.04];19:22:49.332;2.28;20.34;2.08;20.21;2;20.40;-0.08;0.19;-0.28;0.06
P7[2.90,24.00,0.00]=3.72;P6[6.70,18.03,0.00]=4.92;P1[0.00,0.00,0.00]=20.31;P8[5.90,10.00,0.00]=10.86;[2.23, 20.2, 0.0];[2.25,20.38,0.19];19:22:49.432;2.25;20.38;2.23;20.2;2;20.40;-0.23;0.2;-0.25;0.02
P7[2.90,24.00,0.00]=3.69;P1[0.00,0.00,0.00]=20.36;P8[5.90,10.00,0.00]=10.81;null;[2.39, 20.22, 0.0];[2.29,20.36,0.32];19:22:49.528;2.29;20.36;2.39;20.22;2;20.40;-0.39;0.18;-0.29;0.04
P7[2.90,24.00,0.00]=3.71;P6[6.70,18.03,0.00]=4.74;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.02;[2.28, 20.3, 0.0];[2.35,20.35,0.00];19:22:49.633;2.35;20.35;2.28;20.3;2;20.40;-0.28;0.1;-0.35;0.05
P7[2.90,24.00,0.00]=3.75;P6[6.70,18.03,0.00]=4.75;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=10.97;[2.34, 20.3, 0.0];[2.41,20.35,-0.28];19:22:49.733;2.41;20.35;2.34;20.3;2;20.40;-0.34;0.1;-0.41;0.05
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.73;P1[0.00,0.00,0.00]=20.32;P8[5.90,10.00,0.00]=11.08;[2.13, 20.25, 0.0];[2.42,20.33,-0.27];19:22:49.833;2.42;20.33;2.13;20.25;2;20.40;-0.13;0.15;-0.42;0.07
P7[2.90,24.00,0.00]=3.72;P6[6.70,18.03,0.00]=4.77;P1[0.00,0.00,0.00]=20.36;P8[5.90,10.00,0.00]=10.96;[2.27, 20.25, 0.0];[2.43,20.32,-0.41];19:22:49.933;2.43;20.32;2.27;20.25;2;20.40;-0.27;0.15;-0.43;0.08
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=5.03;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.87;[2.27, 20.27, 0.0];[2.41,20.33,-0.13];19:22:50.031;2.41;20.33;2.27;20.27;2;20.40;-0.27;0.13;-0.41;0.07
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.85;[2.32, 20.27, 0.0];[2.41,20.33,0.07];19:22:50.131;2.41;20.33;2.32;20.27;2;20.40;-0.32;0.13;-0.41;0.07
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=10.93;[2.28, 20.3, 0.0];[2.37,20.37,0.23];19:22:50.231;2.37;20.37;2.28;20.3;2;20.40;-0.28;0.1;-0.37;0.03
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.43;P8[5.90,10.00,0.00]=11.09;[2.15, 20.34, 0.0];[2.36,20.38,0.01];19:22:50.333;2.36;20.38;2.15;20.34;2;20.40;-0.15;0.06;-0.36;0.02
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.90;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=11.10;[2.1, 20.32, 0.0];[2.36,20.37,-0.21];19:22:50.433;2.36;20.37;2.1;20.32;2;20.40;-0.1;0.08;-0.36;0.03
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.89;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.96;[2.25, 20.29, 0.0];[2.35,20.37,-0.31];19:22:50.532;2.35;20.37;2.25;20.29;2;20.40;-0.25;0.11;-0.35;0.03
P7[2.90,24.00,0.00]=3.63;P6[6.70,18.03,0.00]=4.83;P1[0.00,0.00,0.00]=20.39;P8[5.90,10.00,0.00]=10.95;[2.29, 20.28, 0.0];[2.36,20.36,-0.35];19:22:50.633;2.36;20.36;2.29;20.28;2;20.40;-0.29;0.12;-0.36;0.04
P7[2.90,24.00,0.00]=3.71;P6[6.70,18.03,0.00]=4.87;P1[0.00,0.00,0.00]=20.38;P8[5.90,10.00,0.00]=11.07;[2.13, 20.29, 0.0];[2.36,20.35,-0.47];19:22:50.733;2.36;20.35;2.13;20.29;2;20.40;-0.13;0.11;-0.36;0.05
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.89;P1[0.00,0.00,0.00]=20.28;P8[5.90,10.00,0.00]=11.02;[2.06, 20.21, 0.0];[2.34,20.34,-0.62];19:22:50.833;2.34;20.34;2.06;20.21;2;20.40;-0.06;0.19;-0.34;0.06
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.07;[2.12, 20.32, 0.0];[2.34,20.35,-0.69];19:22:50.933;2.34;20.35;2.12;20.32;2;20.40;-0.12;0.08;-0.34;0.05
P7[2.90,24.00,0.00]=3.67;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.43;P8[5.90,10.00,0.00]=11.10;[2.1, 20.34, 0.0];[2.33,20.36,-0.74];19:22:51.033;2.33;20.36;2.1;20.34;2;20.40;-0.1;0.06;-0.33;0.04
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.97;[2.2, 20.29, 0.0];[2.32,20.36,-0.78];19:22:51.132;2.32;20.36;2.2;20.29;2;20.40;-0.2;0.11;-0.32;0.04
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.98;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.06;[2.12, 20.32, 0.0];[2.30,20.36,-0.73];19:22:51.233;2.30;20.36;2.12;20.32;2;20.40;-0.12;0.08;-0.3;0.04
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=11.10;[2.11, 20.33, 0.0];[2.30,20.37,-0.73];19:22:51.333;2.30;20.37;2.11;20.33;2;20.40;-0.11;0.07;-0.3;0.03
P7[2.90,24.00,0.00]=3.62;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.95;[2.23, 20.29, 0.0];[2.28,20.37,-0.67];19:22:51.433;2.28;20.37;2.23;20.29;2;20.40;-0.23;0.11;-0.28;0.03
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.98;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=10.84;[2.34, 20.27, 0.0];[2.33,20.36,-0.27];19:22:51.531;2.33;20.36;2.34;20.27;2;20.40;-0.34;0.13;-0.33;0.04
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.49;P8[5.90,10.00,0.00]=11.04;[2.24, 20.38, 0.0];[2.34,20.38,-0.46];19:22:51.632;2.34;20.38;2.24;20.38;2;20.40;-0.24;0.02;-0.34;0.02
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.93;P1[0.00,0.00,0.00]=20.37;P8[5.90,10.00,0.00]=10.92;[2.24, 20.26, 0.0];[2.32,20.37,-0.49];19:22:51.732;2.32;20.37;2.24;20.26;2;20.40;-0.24;0.14;-0.32;0.03
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.33;P8[5.90,10.00,0.00]=11.05;[2.06, 20.25, 0.0];[2.30,20.35,-0.49];19:22:51.834;2.30;20.35;2.06;20.25;2;20.40;-0.06;0.15;-0.3;0.05
P7[2.90,24.00,0.00]=3.63;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.36;P8[5.90,10.00,0.00]=10.97;[2.17, 20.26, 0.0];[2.28,20.35,-0.43];19:22:51.933;2.28;20.35;2.17;20.26;2;20.40;-0.17;0.14;-0.28;0.05
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=10.91;[2.26, 20.28, 0.0];[2.27,20.35,-0.50];19:22:52.031;2.27;20.35;2.26;20.28;2;20.40;-0.26;0.12;-0.27;0.05
P7[2.90,24.00,0.00]=3.67;P6[6.70,18.03,0.00]=5.01;P1[0.00,0.00,0.00]=20.38;P8[5.90,10.00,0.00]=10.91;[2.21, 20.26, 0.0];[2.26,20.35,-0.22];19:22:52.132;2.26;20.35;2.21;20.26;2;20.40;-0.21;0.14;-0.26;0.05
P7[2.90,24.00,0.00]=3.75;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.38;P8[5.90,10.00,0.00]=10.95;[2.19, 20.27, 0.0];[2.26,20.35,-0.41];19:22:52.232;2.26;20.35;2.19;20.27;2;20.40;-0.19;0.13;-0.26;0.05
P7[2.90,24.00,0.00]=3.67;P6[6.70,18.03,0.00]=4.99;P1[0.00,0.00,0.00]=20.43;P8[5.90,10.00,0.00]=11.07;[2.12, 20.34, 0.0];[2.27,20.36,-0.53];19:22:52.333;2.27;20.36;2.12;20.34;2;20.40;-0.12;0.06;-0.27;0.04
P7[2.90,24.00,0.00]=3.71;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.35;P8[5.90,10.00,0.00]=11.11;[2.02, 20.28, 0.0];[2.27,20.34,-0.57];19:22:52.433;2.27;20.34;2.02;20.28;2;20.40;-0.02;0.12;-0.27;0.06
P7[2.90,24.00,0.00]=3.68;P6[6.70,18.03,0.00]=4.98;P1[0.00,0.00,0.00]=20.39;P8[5.90,10.00,0.00]=10.77;[2.39, 20.24, 0.0];[2.21,20.32,-0.57];19:22:52.532;2.21;20.32;2.39;20.24;2;20.40;-0.39;0.16;-0.21;0.08
P7[2.90,24.00,0.00]=3.68;P6[6.70,18.03,0.00]=4.94;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=10.86;[2.34, 20.28, 0.0];[2.26,20.33,-0.22];19:22:52.631;2.26;20.33;2.34;20.28;2;20.40;-0.34;0.12;-0.26;0.07
P7[2.90,24.00,0.00]=3.71;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.34;P8[5.90,10.00,0.00]=10.95;[2.15, 20.24, 0.0];[2.25,20.32,-0.33];19:22:52.732;2.25;20.32;2.15;20.24;2;20.40;-0.15;0.16;-0.25;0.08
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.36;P8[5.90,10.00,0.00]=10.92;[2.24, 20.25, 0.0];[2.26,20.33,-0.32];19:22:52.833;2.26;20.33;2.24;20.25;2;20.40;-0.24;0.15;-0.26;0.07
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.88;P1[0.00,0.00,0.00]=20.40;P8[5.90,10.00,0.00]=11.08;[2.14, 20.31, 0.0];[2.28,20.33,-0.38];19:22:52.934;2.28;20.33;2.14;20.31;2;20.40;-0.14;0.09;-0.28;0.07
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.36;P8[5.90,10.00,0.00]=10.97;[2.16, 20.26, 0.0];[2.26,20.33,-0.41];19:22:53.032;2.26;20.33;2.16;20.26;2;20.40;-0.16;0.14;-0.26;0.07
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=10.84;[2.38, 20.27, 0.0];[2.31,20.34,-0.08];19:22:53.131;2.31;20.34;2.38;20.27;2;20.40;-0.38;0.13;-0.31;0.06
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.93;P1[0.00,0.00,0.00]=20.35;P8[5.90,10.00,0.00]=10.84;[2.3, 20.23, 0.0];[2.31,20.33,0.03];19:22:53.232;2.31;20.33;2.3;20.23;2;20.40;-0.3;0.17;-0.31;0.07
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.05;[2.13, 20.32, 0.0];[2.30,20.34,-0.20];19:22:53.333;2.30;20.34;2.13;20.32;2;20.40;-0.13;0.08;-0.3;0.06
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.42;P8[5.90,10.00,0.00]=11.06;[2.13, 20.33, 0.0];[2.30,20.35,-0.34];19:22:53.433;2.30;20.35;2.13;20.33;2;20.40;-0.13;0.07;-0.3;0.05
P7[2.90,24.00,0.00]=3.71;P6[6.70,18.03,0.00]=4.92;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=10.89;[2.35, 20.3, 0.0];[2.31,20.35,-0.50];19:22:53.531;2.31;20.35;2.35;20.3;2;20.40;-0.35;0.1;-0.31;0.05
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.95;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=10.96;[2.27, 20.32, 0.0];[2.32,20.36,-0.59];19:22:53.632;2.32;20.36;2.27;20.32;2;20.40;-0.27;0.08;-0.32;0.04
P7[2.90,24.00,0.00]=3.69;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.45;P8[5.90,10.00,0.00]=10.92;[2.31, 20.32, 0.0];[2.32,20.37,-0.69];19:22:53.731;2.32;20.37;2.31;20.32;2;20.40;-0.31;0.08;-0.32;0.03
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=11.07;[2.11, 20.32, 0.0];[2.32,20.36,-0.74];19:22:53.833;2.32;20.36;2.11;20.32;2;20.40;-0.11;0.08;-0.32;0.04
P7[2.90,24.00,0.00]=3.66;P6[6.70,18.03,0.00]=4.96;P1[0.00,0.00,0.00]=20.47;P8[5.90,10.00,0.00]=10.91;[2.35, 20.33, 0.0];[2.35,20.37,-0.31];19:22:53.932;2.35;20.37;2.35;20.33;2;20.40;-0.35;0.07;-0.35;0.03
P7[2.90,24.00,0.00]=3.70;P6[6.70,18.03,0.00]=4.91;P1[0.00,0.00,0.00]=20.44;P8[5.90,10.00,0.00]=10.99;[2.26, 20.32, 0.0];[2.36,20.37,-0.49];19:22:54.032;2.36;20.37;2.26;20.32;2;20.40;-0.26;0.08;-0.36;0.03
P7[2.90,24.00,0.00]=3.65;P6[6.70,18.03,0.00]=4.90;P1[0.00,0.00,0.00]=20.43;P8[5.90,10.00,0.00]=10.88;[2.37, 20.29, 0.0];[2.36,20.37,-0.54];19:22:54.131;2.36;20.37;2.37;20.29;2;20.40;-0.37;0.11;-0.36;0.03
P7[2.90,24.00,0.00]=3.64;P6[6.70,18.03,0.00]=4.97;P1[0.00,0.00,0.00]=20.41;P8[5.90,10.00,0.00]=10.98;[2.2, 20.3, 0.0];[2.33,20.37,-0.57];19:22:54.233;2.33;20.37;2.2;20.3;2;20.40;-0.2;0.1;-0.33;0.03
