Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.92;P8[5.90,10.00,0.00]=9.55;null;[2.2, 1.19, 0.0];[2.20,1.16,0.73];19:07:50.763;2.20;1.16;2.2;1.19;2.32;1.40;0.12;0.21;0.12;0.24
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.53;null;[2.24, 1.2, 0.0];[2.20,1.15,0.69];19:07:50.763;2.20;1.15;2.24;1.2;2.32;1.40;0.08;0.2;0.12;0.25
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.56;null;[2.23, 1.17, 0.0];[2.20,1.14,0.69];19:07:50.780;2.20;1.14;2.23;1.17;2.32;1.40;0.09;0.23;0.12;0.26
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.57;null;[2.25, 1.16, 0.0];[2.21,1.14,0.59];19:07:50.879;2.21;1.14;2.25;1.16;2.32;1.40;0.07;0.24;0.11;0.26
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.90;P8[5.90,10.00,0.00]=9.63;null;[2.27, 1.09, 0.47];[2.22,1.13,0.56];19:07:50.980;2.22;1.13;2.27;1.09;2.32;1.40;0.05;0.31;0.1;0.27
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.95;P8[5.90,10.00,0.00]=9.53;null;[2.18, 1.23, 0.0];[2.22,1.16,0.57];19:07:51.080;2.22;1.16;2.18;1.23;2.32;1.40;0.14;0.17;0.1;0.24
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.88;P8[5.90,10.00,0.00]=9.65;null;[2.28, 1.05, 0.0];[2.24,1.13,0.55];19:07:51.180;2.24;1.13;2.28;1.05;2.32;1.40;0.04;0.35;0.08;0.27
P2[8.00,2.40,0.00]=5.96;P1[0.00,0.00,0.00]=2.41;P8[5.90,10.00,0.00]=9.82;null;[2.24, 0.89, 0.0];[2.24,1.07,0.37];19:07:51.380;2.24;1.07;2.24;0.89;2.32;1.40;0.08;0.51;0.08;0.33
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=6.06;P8[5.90,10.00,0.00]=9.71;null;[2.11, 1.06, 0.0];[2.21,1.08,0.46];19:07:51.480;2.21;1.08;2.11;1.06;2.32;1.40;0.21;0.34;0.11;0.32
P2[8.00,2.40,0.00]=5.94;P1[0.00,0.00,0.00]=2.51;P8[5.90,10.00,0.00]=9.60;null;[2.2, 1.15, 0.35];[2.21,1.09,0.26];19:07:51.680;2.21;1.09;2.2;1.15;2.32;1.40;0.12;0.25;0.11;0.31
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.80;P8[5.90,10.00,0.00]=9.54;null;[2.32, 1.15, 0.0];[2.23,1.09,0.37];19:07:51.780;2.23;1.09;2.32;1.15;2.32;1.40;0.0;0.25;0.09;0.31
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.92;P8[5.90,10.00,0.00]=9.65;null;[2.24, 1.07, 0.0];[2.23,1.09,0.39];19:07:51.880;2.23;1.09;2.24;1.07;2.32;1.40;0.08;0.33;0.09;0.31
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.85;P8[5.90,10.00,0.00]=9.52;null;[2.27, 1.2, 0.0];[2.23,1.10,0.46];19:07:51.981;2.23;1.10;2.27;1.2;2.32;1.40;0.05;0.2;0.09;0.3
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.79;P8[5.90,10.00,0.00]=9.60;null;[2.35, 1.08, 0.0];[2.26,1.08,0.53];19:07:52.080;2.26;1.08;2.35;1.08;2.32;1.40;-0.03;0.32;0.06;0.32
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.79;P8[5.90,10.00,0.00]=9.53;null;[2.34, 1.16, -0.0];[2.27,1.08,0.58];19:07:52.181;2.27;1.08;2.34;1.16;2.32;1.40;-0.02;0.24;0.05;0.32
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.85;P8[5.90,10.00,0.00]=9.69;null;[2.33, 0.99, 0.0];[2.29,1.06,0.51];19:07:52.281;2.29;1.06;2.33;0.99;2.32;1.40;-0.01;0.41;0.03;0.34
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.83;P8[5.90,10.00,0.00]=9.55;null;[2.3, 1.15, 0.0];[2.28,1.07,0.57];19:07:52.380;2.28;1.07;2.3;1.15;2.32;1.40;0.02;0.25;0.04;0.33
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.85;P8[5.90,10.00,0.00]=9.51;null;[2.27, 1.21, 0.0];[2.27,1.09,0.62];19:07:52.481;2.27;1.09;2.27;1.21;2.32;1.40;0.05;0.19;0.05;0.31
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.80;P8[5.90,10.00,0.00]=9.45;null;[2.3, 1.26, 0.0];[2.27,1.12,0.64];19:07:52.581;2.27;1.12;2.3;1.26;2.32;1.40;0.02;0.14;0.05;0.28
P2[8.00,2.40,0.00]=5.79;P1[0.00,0.00,0.00]=2.50;P8[5.90,10.00,0.00]=9.55;null;[2.33, 1.14, 0.0];[2.27,1.11,0.33];19:07:53.184;2.27;1.11;2.33;1.14;2.32;1.40;-0.01;0.26;0.05;0.29
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.54;null;[2.29, 1.17, 0.0];[2.27,1.11,0.45];19:07:53.284;2.27;1.11;2.29;1.17;2.32;1.40;0.03;0.23;0.05;0.29
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.83;P8[5.90,10.00,0.00]=9.52;null;[2.29, 1.19, 0.0];[2.27,1.11,0.52];19:07:53.384;2.27;1.11;2.29;1.19;2.32;1.40;0.03;0.21;0.05;0.29
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.52;null;[2.25, 1.21, 0.0];[2.26,1.12,0.60];19:07:53.485;2.26;1.12;2.25;1.21;2.32;1.40;0.07;0.19;0.06;0.28
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=6.33;P8[5.90,10.00,0.00]=9.51;null;[1.76, 1.45, 0.0];[2.15,1.21,0.70];19:07:53.584;2.15;1.21;1.76;1.45;2.32;1.40;0.56;-0.05;0.17;0.19
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=6.43;P8[5.90,10.00,0.00]=9.62;null;[1.76, 1.4, 1.17];[2.05,1.25,0.82];19:07:53.684;2.05;1.25;1.76;1.4;2.32;1.40;0.56;0.0;0.27;0.15
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.95;P8[5.90,10.00,0.00]=9.51;null;[2.16, 1.26, 0.0];[2.08,1.25,0.67];19:07:53.784;2.08;1.25;2.16;1.26;2.32;1.40;0.16;0.14;0.24;0.15
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.83;P8[5.90,10.00,0.00]=9.40;null;[2.26, 1.33, 0.0];[2.11,1.26,0.67];19:07:53.885;2.11;1.26;2.26;1.33;2.32;1.40;0.06;0.07;0.21;0.14
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.92;P8[5.90,10.00,0.00]=9.46;null;[2.18, 1.3, 0.0];[2.12,1.25,0.71];19:07:53.984;2.12;1.25;2.18;1.3;2.32;1.40;0.14;0.1;0.2;0.15
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.82;P8[5.90,10.00,0.00]=9.53;null;[2.3, 1.18, 0.0];[2.16,1.22,0.69];19:07:54.085;2.16;1.22;2.3;1.18;2.32;1.40;0.02;0.22;0.16;0.18
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.86;P8[5.90,10.00,0.00]=9.59;null;[2.28, 1.12, 0.0];[2.18,1.18,0.73];19:07:54.185;2.18;1.18;2.28;1.12;2.32;1.40;0.04;0.28;0.14;0.22
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.79;P8[5.90,10.00,0.00]=9.64;null;[2.36, 1.03, 0.0];[2.22,1.13,0.72];19:07:54.285;2.22;1.13;2.36;1.03;2.32;1.40;-0.04;0.37;0.1;0.27
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.67;null;[2.28, 1.04, 0.4];[2.23,1.11,0.64];19:07:54.384;2.23;1.11;2.28;1.04;2.32;1.40;0.04;0.36;0.09;0.29
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.67;null;[2.28, 1.04, 0.35];[2.24,1.09,0.58];19:07:54.484;2.24;1.09;2.28;1.04;2.32;1.40;0.04;0.36;0.08;0.31
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.88;P8[5.90,10.00,0.00]=9.60;null;[2.26, 1.12, 0.0];[2.24,1.08,0.65];19:07:54.585;2.24;1.08;2.26;1.12;2.32;1.40;0.06;0.28;0.08;0.32
P1[0.00,0.00,0.00]=2.46;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.69;null;[2.32, 0.99, -0.0];[2.25,1.04,0.66];19:07:54.684;2.25;1.04;2.32;0.99;2.32;1.40;0.0;0.41;0.07;0.36
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.79;P8[5.90,10.00,0.00]=9.56;null;[2.34, 1.13, 0.0];[2.27,1.05,0.67];19:07:54.785;2.27;1.05;2.34;1.13;2.32;1.40;-0.02;0.27;0.05;0.35
P1[0.00,0.00,0.00]=2.64;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.41;null;[2.24, 1.34, 0.4];[2.26,1.12,0.61];19:07:54.885;2.26;1.12;2.24;1.34;2.32;1.40;0.08;0.06;0.06;0.28
P1[0.00,0.00,0.00]=2.82;P2[8.00,2.40,0.00]=5.76;P8[5.90,10.00,0.00]=9.45;null;[2.38, 1.23, 0.0];[2.30,1.15,0.65];19:07:54.984;2.30;1.15;2.38;1.23;2.32;1.40;-0.06;0.17;0.02;0.25
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.80;P8[5.90,10.00,0.00]=9.43;null;[2.3, 1.28, 0.0];[2.29,1.17,0.66];19:07:55.085;2.29;1.17;2.3;1.28;2.32;1.40;0.02;0.12;0.03;0.23
P1[0.00,0.00,0.00]=2.82;P2[8.00,2.40,0.00]=5.71;P8[5.90,10.00,0.00]=9.11;null;[2.34, 1.61, 0.0];[2.30,1.27,0.71];19:07:55.185;2.30;1.27;2.34;1.61;2.32;1.40;-0.02;-0.21;0.02;0.13
P1[0.00,0.00,0.00]=2.85;P2[8.00,2.40,0.00]=5.82;P8[5.90,10.00,0.00]=9.27;null;[2.27, 1.47, 0.0];[2.30,1.32,0.73];19:07:55.285;2.30;1.32;2.27;1.47;2.32;1.40;0.05;-0.07;0.02;0.08
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.79;P8[5.90,10.00,0.00]=9.22;null;[2.25, 1.52, 0.0];[2.27,1.35,0.55];19:07:55.386;2.27;1.35;2.25;1.52;2.32;1.40;0.07;-0.12;0.05;0.05
P1[0.00,0.00,0.00]=2.63;P2[8.00,2.40,0.00]=5.80;P3[13.00,0.00,0.00]=10.83;P8[5.90,10.00,0.00]=9.21;[2.27, 1.53, 0.0];[2.25,1.39,0.58];19:07:55.488;2.25;1.39;2.27;1.53;2.32;1.40;0.05;-0.13;0.07;0.01
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.89;P3[13.00,0.00,0.00]=10.64;P8[5.90,10.00,0.00]=9.17;[2.4, 1.48, 0.0];[2.26,1.39,0.57];19:07:55.588;2.26;1.39;2.4;1.48;2.32;1.40;-0.08;-0.08;0.06;0.01
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.77;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.20;[2.44, 1.44, 0.0];[2.27,1.38,0.61];19:07:55.689;2.27;1.38;2.44;1.44;2.32;1.40;-0.12;-0.04;0.05;0.02
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.14;[2.43, 1.51, -0.0];[2.26,1.39,0.54];19:07:55.789;2.26;1.39;2.43;1.51;2.32;1.40;-0.11;-0.11;0.06;0.01
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.60;P8[5.90,10.00,0.00]=9.15;[2.48, 1.48, 0.0];[2.26,1.39,0.45];19:07:55.889;2.26;1.39;2.48;1.48;2.32;1.40;-0.16;-0.08;0.06;0.01
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.67;P3[13.00,0.00,0.00]=10.75;P8[5.90,10.00,0.00]=9.14;[2.36, 1.56, -0.0];[2.24,1.46,0.29];19:07:55.992;2.24;1.46;2.36;1.56;2.32;1.40;-0.04;-0.16;0.08;-0.06
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.66;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.05;[2.49, 1.58, 0.0];[2.24,1.46,0.45];19:07:56.090;2.24;1.46;2.49;1.58;2.32;1.40;-0.17;-0.18;0.08;-0.06
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.68;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.14;[2.58, 1.44, -0.0];[2.27,1.42,0.57];19:07:56.190;2.27;1.42;2.58;1.44;2.32;1.40;-0.26;-0.04;0.05;-0.02
P1[0.00,0.00,0.00]=2.59;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.39;P8[5.90,10.00,0.00]=9.12;[2.64, 1.43, 0.0];[2.31,1.39,0.65];19:07:56.289;2.31;1.39;2.64;1.43;2.32;1.40;-0.32;-0.03;0.01;0.01
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.20;[2.61, 1.37, 0.0];[2.33,1.35,0.73];19:07:56.389;2.33;1.35;2.61;1.37;2.32;1.40;-0.29;0.03;-0.01;0.05
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.62;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.24;[2.5, 1.39, 0.0];[2.33,1.33,0.70];19:07:56.490;2.33;1.33;2.5;1.39;2.32;1.40;-0.18;0.01;-0.01;0.07
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.60;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.13;[2.6, 1.44, -0.0];[2.34,1.32,0.72];19:07:56.589;2.34;1.32;2.6;1.44;2.32;1.40;-0.28;-0.04;-0.02;0.08
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.31;[2.54, 1.29, 0.0];[2.35,1.29,0.65];19:07:56.689;2.35;1.29;2.54;1.29;2.32;1.40;-0.22;0.11;-0.03;0.11
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.20;[2.46, 1.44, -0.0];[2.33,1.30,0.60];19:07:56.790;2.33;1.30;2.46;1.44;2.32;1.40;-0.14;-0.04;-0.01;0.1
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.24;[2.44, 1.42, 0.0];[2.29,1.38,0.33];19:07:56.893;2.29;1.38;2.44;1.42;2.32;1.40;-0.12;-0.02;0.03;0.02
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=9.08;[2.53, 1.53, 0.0];[2.29,1.38,0.37];19:07:56.990;2.29;1.38;2.53;1.53;2.32;1.40;-0.21;-0.13;0.03;0.02
P1[0.00,0.00,0.00]=2.35;P2[8.00,2.40,0.00]=5.69;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.25;[2.46, 1.38, 0.0];[2.26,1.34,0.48];19:07:57.090;2.26;1.34;2.46;1.38;2.32;1.40;-0.14;0.02;0.06;0.06
P1[0.00,0.00,0.00]=2.37;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.15;[2.51, 1.47, 0.0];[2.26,1.33,0.50];19:07:57.190;2.26;1.33;2.51;1.47;2.32;1.40;-0.19;-0.07;0.06;0.07
P1[0.00,0.00,0.00]=3.00;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.74;P8[5.90,10.00,0.00]=9.26;[2.41, 1.46, 0.0];[2.30,1.37,0.63];19:07:57.292;2.30;1.37;2.41;1.46;2.32;1.40;-0.09;-0.06;0.02;0.03
P1[0.00,0.00,0.00]=2.93;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.22;[2.56, 1.4, 0.0];[2.37,1.37,0.51];19:07:57.388;2.37;1.37;2.56;1.4;2.32;1.40;-0.24;0.0;-0.05;0.03
P1[0.00,0.00,0.00]=2.96;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=9.25;[2.58, 1.38, 0.51];[2.42,1.38,0.50];19:07:57.488;2.42;1.38;2.58;1.38;2.32;1.40;-0.26;0.02;-0.1;0.02
P1[0.00,0.00,0.00]=2.99;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.52;P8[5.90,10.00,0.00]=8.99;[2.59, 1.63, 0.0];[2.44,1.43,0.57];19:07:57.589;2.44;1.43;2.59;1.63;2.32;1.40;-0.27;-0.23;-0.12;-0.03
P1[0.00,0.00,0.00]=2.28;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.16;[2.56, 1.43, 0.0];[2.38,1.38,0.64];19:07:57.692;2.38;1.38;2.56;1.43;2.32;1.40;-0.24;-0.03;-0.06;0.02
P1[0.00,0.00,0.00]=2.32;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.24;[2.48, 1.4, 0.0];[2.32,1.46,0.44];19:07:57.793;2.32;1.46;2.48;1.4;2.32;1.40;-0.16;0.0;0.0;-0.06
P1[0.00,0.00,0.00]=2.39;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.14;[2.63, 1.42, -0.0];[2.33,1.41,0.41];19:07:57.891;2.33;1.41;2.63;1.42;2.32;1.40;-0.31;-0.02;-0.01;-0.01
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.36;P8[5.90,10.00,0.00]=9.15;[2.67, 1.39, 0.0];[2.35,1.36,0.37];19:07:57.991;2.35;1.36;2.67;1.39;2.32;1.40;-0.35;0.01;-0.03;0.04
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.41;P8[5.90,10.00,0.00]=9.08;[2.64, 1.47, 0.0];[2.36,1.35,0.33];19:07:58.091;2.36;1.35;2.64;1.47;2.32;1.40;-0.32;-0.07;-0.04;0.05
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.18;[2.61, 1.4, -0.0];[2.36,1.32,0.46];19:07:58.190;2.36;1.32;2.61;1.4;2.32;1.40;-0.29;0.0;-0.04;0.08
P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.17;null;[2.59, 1.44, 0.0];[2.45,1.37,0.73];19:07:58.286;2.45;1.37;2.59;1.44;2.32;1.40;-0.27;-0.04;-0.13;0.03
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.20;[2.61, 1.37, 0.0];[2.43,1.35,0.61];19:07:58.391;2.43;1.35;2.61;1.37;2.32;1.40;-0.29;0.03;-0.11;0.05
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.16;[2.64, 1.4, 0.0];[2.42,1.33,0.67];19:07:58.491;2.42;1.33;2.64;1.4;2.32;1.40;-0.32;0.0;-0.1;0.07
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.20;[2.59, 1.38, 0.0];[2.40,1.30,0.72];19:07:58.591;2.40;1.30;2.59;1.38;2.32;1.40;-0.27;0.02;-0.08;0.1
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.49;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.15;[2.64, 1.41, 0.0];[2.40,1.29,0.74];19:07:58.691;2.40;1.29;2.64;1.41;2.32;1.40;-0.32;-0.01;-0.08;0.11
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.48;P3[13.00,0.00,0.00]=10.44;P8[5.90,10.00,0.00]=9.00;[2.64, 1.57, 0.0];[2.39,1.33,0.71];19:07:58.791;2.39;1.33;2.64;1.57;2.32;1.40;-0.32;-0.17;-0.07;0.07
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.46;P8[5.90,10.00,0.00]=9.04;[2.61, 1.53, 0.0];[2.37,1.34,0.70];19:07:58.890;2.37;1.34;2.61;1.53;2.32;1.40;-0.29;-0.13;-0.05;0.06
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.51;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.12;[2.63, 1.45, 0.0];[2.37,1.33,0.71];19:07:58.991;2.37;1.33;2.63;1.45;2.32;1.40;-0.31;-0.05;-0.05;0.07
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.51;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.21;[2.6, 1.38, 0.0];[2.38,1.31,0.58];19:07:59.091;2.38;1.31;2.6;1.38;2.32;1.40;-0.28;0.02;-0.06;0.09
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.51;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.10;[2.63, 1.47, 0.0];[2.37,1.32,0.64];19:07:59.191;2.37;1.32;2.63;1.47;2.32;1.40;-0.31;-0.07;-0.05;0.08
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.43;P8[5.90,10.00,0.00]=9.00;[2.64, 1.56, 0.0];[2.38,1.34,0.68];19:07:59.291;2.38;1.34;2.64;1.56;2.32;1.40;-0.32;-0.16;-0.06;0.06
P1[0.00,0.00,0.00]=2.58;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.11;[2.58, 1.49, 0.0];[2.38,1.35,0.59];19:07:59.391;2.38;1.35;2.58;1.49;2.32;1.40;-0.26;-0.09;-0.06;0.05
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.45;P8[5.90,10.00,0.00]=9.14;[2.62, 1.44, 0.0];[2.39,1.35,0.46];19:07:59.491;2.39;1.35;2.62;1.44;2.32;1.40;-0.3;-0.04;-0.07;0.05
